"SpeciesName","TraitName","value"
"Galium verum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",20.8467067517046
"Galium verum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",19.8491282065716
"Galium verum","Leaf thickness",0.265087692138889
"Galium verum","Plant biomass and allometry: Seed number per plant",58.35
"Galium verum","Plant growth form",NA
"Galium verum","Plant height generative",0.6898125
"Galium verum","Plant height vegetative",0.261209743589744
"Galium verum","Plant reproductive phenology timing",NA
"Galium verum","Root/shoot ratio",2.2
"Galium verum","Seed number per flower",3.16666666666667
"Galium verum","Seed number per inflorescence (total, fertile, infertile)",276
"Galium verum","Stem diameter",0.0025735
"Galium verum L.","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",7.29027523085683
"Galium verum L.","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",21.1083141431061
"Galium verum L.","Leaf thickness",0.266825
"Galium verum L.","Plant growth form",NA
"Galium verum L.","Plant height vegetative",0.0934379562043796
"Galium verum L.","Root/shoot ratio",3.52233990597143
"Galium verum subsp. verum","Dispersal syndrome",NA
"Galium verum subsp. verum","Plant height vegetative",0.43
"Galium verum var. verum","Plant growth form",NA
"GALIUM VERUM X MOLLUGO = G. X POMERANICUM","Leaf petiole length",0
"GALIUM VERUM X MOLLUGO = G. X POMERANICUM","Plant height vegetative",1.2
"GALIUM VERUM X MOLLUGO = G. X POMERANICUM","Plant reproductive phenology timing",NA
"Gasteria carinata","Plant growth form",NA
"Gasteria carinata (Mill.) Duval","Plant growth form",NA
"Gaultheria hispidula","Dispersal syndrome",NA
"Gaultheria hispidula","Plant growth form",NA
"Gaultheria hispidula","Plant height vegetative",0.1524
"Gaultheria hispidula (L.) Muhl. ex Bigelow","Dispersal syndrome",NA
"Gaultheria hispidula (L.) Muhl. ex Bigelow","Plant growth form",NA
"Gaultheria hispidula (L.) Muhl. ex Bigelow","Plant height vegetative",0.0762
"Gaultheria hispidula (L.) Muhl. ex Bigelow","Plant reproductive phenology timing",NA
"Gaultheria humifusa","Plant growth form",NA
"Gaultheria ovatifolia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",9.0497737557
"Gaultheria ovatifolia","Plant growth form",NA
"Gaultheria procumbens","Dispersal syndrome",NA
"Gaultheria procumbens","Plant growth form",NA
"Gaultheria procumbens","Plant height vegetative",0.1
"Gaultheria procumbens","Stem diameter",9e-04
"Gaultheria procumbens L.","Dispersal syndrome",NA
"Gaultheria procumbens L.","Plant growth form",NA
"Gaultheria procumbens L.","Plant height vegetative",0.0762
"Gaultheria procumbens L.","Plant reproductive phenology timing",NA
"Gaultheria shallon","Dispersal syndrome",NA
"Gaultheria shallon","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.70892120514
"Gaultheria shallon","Leaf thickness",0.327333333333333
"Gaultheria shallon","Plant growth form",NA
"Gaultheria shallon","Plant height vegetative",1.22554285714286
"Gaultheria shallon","Plant reproductive phenology timing",NA
"Gaultheria shallon Pursh","Dispersal syndrome",NA
"Gaultheria shallon Pursh","Plant growth form",NA
"Gaultheria shallon Pursh","Plant height vegetative",1.0668
"Gaultheria shallon Pursh","Plant reproductive phenology timing",NA
"Gaultheria shalon Pursh","Plant growth form",NA
"Gaultheria shalon Pursh","Plant height vegetative",1.5
"Gautheria shallon","Plant growth form",NA
"Gaylussacia baccata","Dispersal syndrome",NA
"Gaylussacia baccata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.0562987587031
"Gaylussacia baccata","Plant growth form",NA
"Gaylussacia baccata","Plant height vegetative",1.5
"Gaylussacia baccata (Wangenh.) K. Koch","Plant growth form",NA
"Gaylussacia baccata (Wangenh.) K. Koch","Plant height vegetative",0.9144
"Gaylussacia baccata (Wangenh.) K. Koch","Plant reproductive phenology timing",NA
"Gaylussacia baccata (Wangh.) K.Koch","Dispersal syndrome",NA
"Gaylussacia dumosa","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",10.2187021232592
"Gaylussacia dumosa","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.329131087
"Gaylussacia dumosa","Leaf petiole length",0.107222222222222
"Gaylussacia dumosa","Plant growth form",NA
"Gaylussacia dumosa","Plant height vegetative",0.14
"Gaylussacia dumosa (Andrews) Torr. & A. Gray","Plant growth form",NA
"Gaylussacia dumosa (Andrews) Torr. & A. Gray","Plant height vegetative",0.36576
"Gaylussacia dumosa (Andrews) Torr. & A. Gray","Plant reproductive phenology timing",NA
"Gentiana crinita","Plant growth form",NA
"Gentiana gaspensis","Plant growth form",NA
"Gentiana glauca","Plant growth form",NA
"Gentiana lingulata","Plant growth form",NA
"Gentiana macounii","Plant growth form",NA
"Gentiana menziesii","Plant growth form",NA
"Gentiana plebeja","Plant growth form",NA
"Gentiana sceptrum","Plant growth form",NA
"Gentiana scopulorum","Plant growth form",NA
"Gentiana strictiflora","Plant growth form",NA
"Gentiana tonsa","Plant growth form",NA
"Gentiana ventricosa","Plant growth form",NA
"Gentianella amarella","Dispersal syndrome",NA
"Gentianella amarella","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28
"Gentianella amarella","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",29.5286150347787
"Gentianella amarella","Leaf thickness",0.194
"Gentianella amarella","Plant biomass and allometry: Seed number per plant",346.742857142857
"Gentianella amarella","Plant growth form",NA
"Gentianella amarella","Plant height generative",0.225
"Gentianella amarella","Plant height vegetative",0.196444444444444
"Gentianella amarella","Plant reproductive phenology timing",NA
"Gentianella amarella","Seed number per flower",64
"Gentianella amarella","Seed number per inflorescence (total, fertile, infertile)",73
"Gentianella crinita","Plant growth form",NA
"Gentianodes glauca","Plant growth form",NA
"Gentianopsis crinita","Plant growth form",NA
"Gentianopsis macounii","Plant growth form",NA
"Geocalyx graveolens","Plant growth form",NA
"Geocalyx graveolens","Species habitat characterization: vegetation type",NA
"Geocaulon lividum","Plant growth form",NA
"Geocaulon lividum (Richardson) Fernald","Plant growth form",NA
"Geramium molle","Plant height vegetative",0.815
"Geramium molle","Root/shoot ratio",0.314397948516216
"Geranium bicknellii","Plant growth form",NA
"Geranium carolinianum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",13.6798905608755
"Geranium carolinianum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",13.679890561
"Geranium carolinianum","Leaf thickness",0.17
"Geranium carolinianum","Plant growth form",NA
"Geranium carolinianum","Plant height vegetative",0.1
"Geranium carolinianum","Plant reproductive phenology timing",NA
"Geranium carolinianum var. carolinianum","Plant growth form",NA
"Geranium carolinianum var. sphaerospermum","Plant growth form",NA
"Geranium dissectum","Dispersal syndrome",NA
"Geranium dissectum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",23.2
"Geranium dissectum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",19.9058961478125
"Geranium dissectum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",19.9985386234848
"Geranium dissectum","Leaf thickness",0.162953125
"Geranium dissectum","Plant biomass and allometry: Seed number per plant",336.25
"Geranium dissectum","Plant growth form",NA
"Geranium dissectum","Plant height generative",0.35
"Geranium dissectum","Plant height vegetative",0.129259259259259
"Geranium dissectum","Plant reproductive phenology timing",NA
"Geranium dissectum","Root/shoot ratio",1.95135135135135
"Geranium dissectum","Seed number per inflorescence (total, fertile, infertile)",5
"GERANIUM DISSECTUM L.","Plant growth form",NA
"GERANIUM DISSECTUM L.","Plant height vegetative",0.2
"Geranium endressii","Dispersal syndrome",NA
"Geranium endressii","Plant growth form",NA
"Geranium endressii","Plant height vegetative",0.50625
"Geranium endressii","Plant reproductive phenology timing",NA
"Geranium humile","Plant growth form",NA
"Geranium laxum","Plant growth form",NA
"Geranium lucidum","Dispersal syndrome",NA
"Geranium lucidum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",27.868156424581
"Geranium lucidum","Leaf thickness",0.232
"Geranium lucidum","Plant biomass and allometry: Seed number per plant",550
"Geranium lucidum","Plant growth form",NA
"Geranium lucidum","Plant height generative",0.235
"Geranium lucidum","Plant height vegetative",0.259357142857143
"Geranium lucidum","Plant reproductive phenology timing",NA
"Geranium maculatum","Dispersal syndrome",NA
"Geranium maculatum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",39.0761922509091
"Geranium maculatum","Plant growth form",NA
"Geranium maculatum","Plant height vegetative",0.5
"Geranium molle","Dispersal syndrome",NA
"Geranium molle","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",26.15
"Geranium molle","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",26.7324207727947
"Geranium molle","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",28.0938807066
"Geranium molle","Plant biomass and allometry: Seed number per plant",87.3333333333333
"Geranium molle","Plant growth form",NA
"Geranium molle","Plant height generative",0.22
"Geranium molle","Plant height vegetative",0.187021739130435
"Geranium molle","Plant reproductive phenology timing",NA
"Geranium molle","Root/shoot ratio",0.478070168030454
"Geranium molle","Seed number per flower",5
"Geranium molle","Seed number per inflorescence (total, fertile, infertile)",11.0769230769231
"GERANIUM MOLLE L.","Plant growth form",NA
"GERANIUM MOLLE L.","Plant height vegetative",0.2
"Geranium nemorale","Plant growth form",NA
"Geranium pratense","Dispersal syndrome",NA
"Geranium pratense","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",21.0437456324249
"Geranium pratense","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.5723139825
"Geranium pratense","Leaf thickness",0.14792
"Geranium pratense","Plant biomass and allometry: Seed number per plant",550
"Geranium pratense","Plant growth form",NA
"Geranium pratense","Plant height generative",0.46
"Geranium pratense","Plant height vegetative",0.386192307692308
"Geranium pratense","Plant reproductive phenology timing",NA
"Geranium pratense","Root/shoot ratio",2.32727272727273
"Geranium pratense","Seed number per flower",5.5
"Geranium pratense","Seed number per inflorescence (total, fertile, infertile)",3.27272727272727
"Geranium pratense","Stem diameter",0.00557
"GERANIUM PRATENSE L.","Dispersal syndrome",NA
"GERANIUM PRATENSE L.","Plant growth form",NA
"GERANIUM PRATENSE L.","Plant height vegetative",0.4
"Geranium pretense","Plant growth form",NA
"Geranium pusillum","Dispersal syndrome",NA
"Geranium pusillum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",25.5
"Geranium pusillum","Plant biomass and allometry: Seed number per plant",525
"Geranium pusillum","Plant growth form",NA
"Geranium pusillum","Plant height generative",0.225
"Geranium pusillum","Plant height vegetative",0.233333333333333
"Geranium pusillum","Plant reproductive phenology timing",NA
"Geranium pusillum","Root/shoot ratio",1.6
"Geranium pusillum","Stem diameter",9e-04
"GERANIUM PUSILLUM L.","Plant growth form",NA
"GERANIUM PUSILLUM L.","Plant height vegetative",0.2
"Geranium pyrenaicum","Dispersal syndrome",NA
"Geranium pyrenaicum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",25.8
"Geranium pyrenaicum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",29.41
"Geranium pyrenaicum","Plant growth form",NA
"Geranium pyrenaicum","Plant height generative",0.405
"Geranium pyrenaicum","Plant height vegetative",0.4125
"Geranium pyrenaicum","Plant reproductive phenology timing",NA
"Geranium pyrenaicum","Root/shoot ratio",2.48923076923077
"Geranium pyrenaicum","Seed number per flower",5.5
"Geranium pyrenaicum Burm.","Plant growth form",NA
"Geranium pyrenaicum Burm.","Plant height vegetative",0.2
"Geranium richardsonii","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.2220011470313
"Geranium richardsonii","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.2220011469733
"Geranium richardsonii","Plant growth form",NA
"Geranium richardsonii","Plant height vegetative",0.192
"Geranium richardsonii","Plant reproductive phenology timing",NA
"Geranium richardsonii Fisch et Tautv.","Plant growth form",NA
"Geranium richardsonii Fisch et Tautv.","Plant height vegetative",0.4
"Geranium richardsonii Fisch. & Trautv.","Plant growth form",NA
"Geranium richardsonii Fisch. & Trautv.","Plant height vegetative",0.9144
"Geranium richardsonii Fisch. & Trautv.","Plant reproductive phenology timing",NA
"Geranium robertianum","Dispersal syndrome",NA
"Geranium robertianum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",25.9846701211848
"Geranium robertianum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",51.1024546040453
"Geranium robertianum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",51.6344718881818
"Geranium robertianum","Leaf thickness",0.166666666666667
"Geranium robertianum","Plant biomass and allometry: Seed number per plant",216.18
"Geranium robertianum","Plant growth form",NA
"Geranium robertianum","Plant height generative",0.255
"Geranium robertianum","Plant height vegetative",0.2425
"Geranium robertianum","Plant reproductive phenology timing",NA
"Geranium robertianum","Root/shoot ratio",2.24074074074074
"Geranium robertianum","Seed number per inflorescence (total, fertile, infertile)",5
"GERANIUM ROBERTIANUM L.","Plant growth form",NA
"GERANIUM ROBERTIANUM L.","Plant height vegetative",0.2
"Geranium sanguineum","Dispersal syndrome",NA
"Geranium sanguineum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",41.7139253177277
"Geranium sanguineum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",16.1908163074788
"Geranium sanguineum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",50.7775277349091
"Geranium sanguineum","Leaf thickness",0.164
"Geranium sanguineum","Plant biomass and allometry: Seed number per plant",173
"Geranium sanguineum","Plant growth form",NA
"Geranium sanguineum","Plant height generative",0.295
"Geranium sanguineum","Plant height vegetative",0.261113636363636
"Geranium sanguineum","Plant reproductive phenology timing",NA
"GERANIUM SANGUINEUM L.","Plant growth form",NA
"GERANIUM SANGUINEUM L.","Plant height vegetative",0.35
"Geranium sibiricum","Dispersal syndrome",NA
"Geranium sibiricum","Plant growth form",NA
"Geranium sibiricum","Plant height vegetative",0.35
"Geranium sibiricum","Plant reproductive phenology timing",NA
"Geranium sibiricum L.","Plant growth form",NA
"Geranium sibiricum L.","Plant height vegetative",0.4
"Geranium sphaerospermum","Plant growth form",NA
"Geum  macrophyllum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",40.8690859084741
"Geum  macrophyllum","Plant growth form",NA
"Geum alepoicum","Plant growth form",NA
"Geum aleppicum","Plant growth form",NA
"Geum aleppicum Jacq.","Plant growth form",NA
"Geum aleppicum Jacq.","Plant height vegetative",0.4
"Geum allepicum Jacq.","Plant growth form",NA
"Geum allepicum Jacq.","Plant height vegetative",0.4
"Geum calthifolium","Plant growth form",NA
"Geum canadense","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",17.2439949389592
"Geum canadense","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",19.8149313871429
"Geum canadense","Leaf thickness",0.14
"Geum canadense","Plant growth form",NA
"Geum canadense","Plant height vegetative",1
"Geum canadense","Plant reproductive phenology timing",NA
"Geum canadense Jacq.","Plant growth form",NA
"Geum canadense Jacq.","Plant height vegetative",1.18872
"Geum canadense Jacq.","Plant reproductive phenology timing",NA
"Geum canadense var. canadense","Plant growth form",NA
"Geum japonicum","Plant growth form",NA
"Geum japonicum","Plant height vegetative",NA
"Geum laciniatum","Plant growth form",NA
"Geum laciniatum Murray","Plant growth form",NA
"Geum laciniatum Murray","Plant height vegetative",0.94488
"Geum laciniatum Murray","Plant reproductive phenology timing",NA
"Geum laciniatum var. laciniatum","Plant growth form",NA
"Geum macrophyllum","Dispersal syndrome",NA
"Geum macrophyllum","Plant growth form",NA
"Geum macrophyllum","Plant height vegetative",0.6096
"Geum macrophyllum var. macrophyllum","Plant growth form",NA
"Geum macrophyllum var. perincisum","Plant growth form",NA
"Geum macrophyllum Willd.","Plant growth form",NA
"Geum macrophyllum Willd.","Plant height vegetative",0.6096
"Geum macrophyllum Willd.","Plant reproductive phenology timing",NA
"Geum macrophylum Hook","Plant growth form",NA
"Geum macrophylum Hook","Plant height vegetative",0.4
"Geum perincisum","Plant growth form",NA
"Geum rivale","Dispersal syndrome",NA
"Geum rivale","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",23.5680890915932
"Geum rivale","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.4955017513669
"Geum rivale","Leaf thickness",0.14667
"Geum rivale","Plant biomass and allometry: Seed number per plant",310.46
"Geum rivale","Plant growth form",NA
"Geum rivale","Plant height generative",0.625
"Geum rivale","Plant height vegetative",0.445563157894737
"Geum rivale","Plant reproductive phenology timing",NA
"Geum rivale","Root/shoot ratio",3.1
"Geum rivale","Seed number per inflorescence (total, fertile, infertile)",113
"Geum rivale L.","Dispersal syndrome",NA
"Geum rivale L.","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",27.7578411873823
"Geum rivale L.","Plant growth form",NA
"Geum rivale L.","Plant height generative",0.417882424242424
"Geum rivale L.","Plant height vegetative",0.6572
"Geum rivale L.","Plant reproductive phenology timing",NA
"Geum rivali","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",27.9732994302674
"Geum strictum","Plant growth form",NA
"Geum urbanum","Dispersal syndrome",NA
"Geum urbanum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",35.4560075942501
"Geum urbanum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",36.2138499361711
"Geum urbanum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.8
"Geum urbanum","Leaf thickness",0.21058
"Geum urbanum","Plant biomass and allometry: Seed number per plant",1998.83333333333
"Geum urbanum","Plant growth form",NA
"Geum urbanum","Plant height generative",0.601
"Geum urbanum","Plant height vegetative",0.465745833333333
"Geum urbanum","Plant reproductive phenology timing",NA
"Geum urbanum","Root/shoot ratio",1.93863636363636
"Geum urbanum","Stem diameter",0.00366909090909091
"GEUM URBANUM L.","Dispersal syndrome",NA
"GEUM URBANUM L.","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",6.2397675
"GEUM URBANUM L.","Leaf thickness",0.06125
"GEUM URBANUM L.","Plant growth form",NA
"GEUM URBANUM L.","Plant height vegetative",0.4
"Gilia capitata","Dispersal syndrome",NA
"Gilia capitata","Plant growth form",NA
"Gilia capitata Sims","Dispersal syndrome",NA
"Gilia capitata ssp. capitata","Plant growth form",NA
"Ginkgo biloba","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",26.9391658064446
"Ginkgo biloba","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",18.0505415162455
"Ginkgo biloba","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.3482719706018
"Ginkgo biloba","Leaf petiole length",4.12394615384615
"Ginkgo biloba","Leaf thickness",0.3006
"Ginkgo biloba","Plant growth form",NA
"Ginkgo biloba","Plant height vegetative",33.9
"Ginkgo biloba","Stem diameter",4
"Ginkgo biloba L.","Plant growth form",NA
"Ginkgo biloba L.","Plant height vegetative",25.0173333333333
"Ginkgo biloba L.","Plant reproductive phenology timing",NA
"Githopsis latifolia","Plant growth form",NA
"Glaux maritima","Dispersal syndrome",NA
"Glaux maritima","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",13.1061598951507
"Glaux maritima","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",21.25
"Glaux maritima","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",13.1061598951507
"Glaux maritima","Leaf petiole length",0.1
"Glaux maritima","Leaf thickness",0.499
"Glaux maritima","Plant biomass and allometry: Seed number per plant",143.35
"Glaux maritima","Plant growth form",NA
"Glaux maritima","Plant height generative",0.115
"Glaux maritima","Plant height vegetative",0.172692307692308
"Glaux maritima","Plant reproductive phenology timing",NA
"Glaux maritima","Seed number per flower",5.5
"Glaux maritima","Seed number per inflorescence (total, fertile, infertile)",10
"Glaux maritima L.","Plant growth form",NA
"Glaux maritima L.","Plant height vegetative",0.16216
"Glaux maritima L.","Plant reproductive phenology timing",NA
"Glaux maritimus","Plant growth form",NA
"Glechoma camphorata","Plant growth form",NA
"Glechoma hederacea","Dispersal syndrome",NA
"Glechoma hederacea","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",36.025059908
"Glechoma hederacea","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",36.3914036309611
"Glechoma hederacea","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",35.6156345682702
"Glechoma hederacea","Leaf petiole length",4.499695
"Glechoma hederacea","Leaf thickness",0.0746666666666667
"Glechoma hederacea","Plant growth form",NA
"Glechoma hederacea","Plant height generative",0.2
"Glechoma hederacea","Plant height vegetative",0.391486486486486
"Glechoma hederacea","Plant reproductive phenology timing",NA
"Glechoma hederacea","Root/shoot ratio",0.456677451227958
"Glechoma hederacea","Seed number per flower",4
"Glechoma hederacea","Seed number per inflorescence (total, fertile, infertile)",4
"Glechoma hederacea","Stem diameter",0.001148
"Glechoma hederaceae","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",46.0829493088372
"Glechoma hederaceae","Plant growth form",NA
"Gleditsia triacanthos","Dispersal syndrome",NA
"Gleditsia triacanthos","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",31.1
"Gleditsia triacanthos","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",1.2192
"Gleditsia triacanthos","Plant growth form",NA
"Gleditsia triacanthos","Plant height generative",30
"Gleditsia triacanthos","Plant height vegetative",36.075
"Gleditsia triacanthos L.","Dispersal syndrome",NA
"Gleditsia triacanthos L.","Plant growth form",NA
"Gleditsia triacanthos L.","Plant height vegetative",23.8016
"Gleditsia triacanthos L.","Plant reproductive phenology timing",NA
"Gleditsia tricanthos","Plant growth form",NA
"Glicine max","Plant growth form",NA
"Gloriosa carsonii Baker","Plant growth form",NA
"Gloriosa rothschildiana","Plant growth form",NA
"Gloriosa simplex L.","Plant growth form",NA
"Gloriosa superba","Plant growth form",NA
"Gloriosa superba L.","Plant growth form",NA
"Glyceria A-occidentalis","Plant growth form",NA
"Glyceria borealis","Plant growth form",NA
"Glyceria borealis","Plant height vegetative",1
"Glyceria borealis (Nash) Batchelder","Plant growth form",NA
"Glyceria borealis (Nash) Batchelder","Plant height vegetative",1.49352
"Glyceria borealis (Nash) Batchelder","Plant reproductive phenology timing",NA
"Glyceria canadensis","Dispersal syndrome",NA
"Glyceria canadensis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.5464691541549
"Glyceria canadensis","Plant growth form",NA
"Glyceria canadensis","Plant height vegetative",1
"Glyceria canadensis (Michx.) Trin.","Dispersal syndrome",NA
"Glyceria canadensis (Michx.) Trin.","Plant growth form",NA
"Glyceria canadensis (Michx.) Trin.","Plant height vegetative",0.97536
"Glyceria canadensis (Michx.) Trin.","Plant reproductive phenology timing",NA
"Glyceria declinata","Dispersal syndrome",NA
"Glyceria declinata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",33.96
"Glyceria declinata","Leaf petiole length",0
"Glyceria declinata","Plant biomass and allometry: Seed number per plant",47.5
"Glyceria declinata","Plant growth form",NA
"Glyceria declinata","Plant height vegetative",0.37125
"Glyceria declinata","Plant reproductive phenology timing",NA
"Glyceria elata","Plant growth form",NA
"Glyceria fluitans","Dispersal syndrome",NA
"Glyceria fluitans","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",37.2783993313451
"Glyceria fluitans","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",26.9882594053763
"Glyceria fluitans","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",32.258064516
"Glyceria fluitans","Leaf thickness",0.198
"Glyceria fluitans","Plant biomass and allometry: Seed number per plant",20.75
"Glyceria fluitans","Plant growth form",NA
"Glyceria fluitans","Plant height vegetative",0.611111111111111
"Glyceria fluitans","Plant reproductive phenology timing",NA
"Glyceria fluitans x notata (G. x pedicellata)","Plant height vegetative",0.95
"GLYCERIA FLUITANS X NOTATA = G. X PEDICELLATA","Leaf petiole length",0
"GLYCERIA FLUITANS X NOTATA = G. X PEDICELLATA","Plant height vegetative",0.8
"GLYCERIA FLUITANS X NOTATA = G. X PEDICELLATA","Plant reproductive phenology timing",NA
"Glyceria flutans","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",38.81
"Glyceria flutans","Plant growth form",NA
"Glyceria grandis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",37.85
"Glyceria grandis","Plant growth form",NA
"Glyceria grandis var. grandis","Plant growth form",NA
"Glyceria grandis var. komarovii","Plant growth form",NA
"Glyceria hulteniana","Plant growth form",NA
"Glyceria laxa","Plant growth form",NA
"Glyceria maritima","Plant growth form",NA
"Glyceria maxima","Dispersal syndrome",NA
"Glyceria maxima","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",21.5
"Glyceria maxima","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",14.9511141848005
"Glyceria maxima","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.548622934
"Glyceria maxima","Plant growth form",NA
"Glyceria maxima","Plant height generative",1.45
"Glyceria maxima","Plant height vegetative",1.4
"Glyceria maxima","Plant reproductive phenology timing",NA
"Glyceria melicaria","Plant growth form",NA
"Glyceria melicaria (Michx.) F.T. Hubbard","Plant growth form",NA
"Glyceria melicaria (Michx.) F.T. Hubbard","Plant height vegetative",1.18872
"Glyceria melicaria (Michx.) F.T. Hubbard","Plant reproductive phenology timing",NA
"Glyceria nervata","Plant growth form",NA
"Glyceria nervata","Plant height vegetative",1
"Glyceria obtusa","Plant growth form",NA
"Glyceria obtusa (Muhl.) Trin.","Plant growth form",NA
"Glyceria obtusa (Muhl.) Trin.","Plant height vegetative",1.00584
"Glyceria obtusa (Muhl.) Trin.","Plant reproductive phenology timing",NA
"Glyceria occidentalis","Plant growth form",NA
"Glyceria ottawensis","Plant growth form",NA
"Glyceria pallida","Plant growth form",NA
"Glyceria septentrionalis","Plant growth form",NA
"Glyceria septentrionalis","Plant height vegetative",1.5
"Glyceria spectabilis","Plant growth form",NA
"Glyceria striata","Dispersal syndrome",NA
"Glyceria striata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",17.9041916167665
"Glyceria striata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",27.5386001663636
"Glyceria striata","Leaf thickness",0.176666666666667
"Glyceria striata","Plant growth form",NA
